playerName,playerEmail,playerPhone,playerAge,playerGender,playerCategory,paymentStatus
Rajesh Kumar,rajesh.kumar@email.com,+91-9876543001,25,MALE,MEN_SINGLES,SUCCEEDED
Priya Sharma,priya.sharma@email.com,+91-9876543002,23,FEMALE,WOMEN_SINGLES,SUCCEEDED
Amit Singh,amit.singh@email.com,+91-9876543003,27,MALE,MEN_SINGLES,SUCCEEDED
Neha Patel,neha.patel@email.com,+91-9876543004,22,FEMALE,WOMEN_SINGLES,SUCCEEDED
Vikram Malhotra,vikram.malhotra@email.com,+91-9876543005,26,MALE,MEN_SINGLES,SUCCEEDED
Anjali Reddy,anjali.reddy@email.com,+91-9876543006,24,FEMALE,WOMEN_SINGLES,SUCCEEDED
Rahul Gupta,rahul.gupta@email.com,+91-9876543007,28,MALE,MEN_SINGLES,SUCCEEDED
Sneha Verma,sneha.verma@email.com,+91-9876543008,21,FEMALE,WOMEN_SINGLES,SUCCEEDED
Aditya Joshi,aditya.joshi@email.com,+91-9876543009,25,MALE,MEN_SINGLES,SUCCEEDED
Meera Kapoor,meera.kapoor@email.com,+91-9876543010,23,FEMALE,WOMEN_SINGLES,SUCCEEDED
Karan Mehta,karan.mehta@email.com,+91-9876543011,26,MALE,MEN_SINGLES,SUCCEEDED
Divya Iyer,divya.iyer@email.com,+91-9876543012,22,FEMALE,WOMEN_SINGLES,SUCCEEDED
Rohan Desai,rohan.desai@email.com,+91-9876543013,27,MALE,MEN_SINGLES,SUCCEEDED
Isha Malhotra,isha.malhotra@email.com,+91-9876543014,24,FEMALE,WOMEN_SINGLES,SUCCEEDED
Siddharth Tiwari,siddharth.tiwari@email.com,+91-9876543015,25,MALE,MEN_SINGLES,SUCCEEDED
Tanvi Agarwal,tanvi.agarwal@email.com,+91-9876543016,23,FEMALE,WOMEN_SINGLES,SUCCEEDED
Arnav Singh,arnav.singh@email.com,+91-9876543017,26,MALE,MEN_SINGLES,SUCCEEDED
Kavya Sharma,kavya.sharma@email.com,+91-9876543018,21,FEMALE,WOMEN_SINGLES,SUCCEEDED
Dhruv Kumar,dhruv.kumar@email.com,+91-9876543019,28,MALE,MEN_SINGLES,SUCCEEDED
Ananya Patel,ananya.patel@email.com,+91-9876543020,24,FEMALE,WOMEN_SINGLES,SUCCEEDED
Vivaan Reddy,vivaan.reddy@email.com,+91-9876543021,25,MALE,MEN_SINGLES,SUCCEEDED
Myra Gupta,myra.gupta@email.com,+91-9876543022,22,FEMALE,WOMEN_SINGLES,SUCCEEDED
Shaurya Verma,shaurya.verma@email.com,+91-9876543023,27,MALE,MEN_SINGLES,SUCCEEDED
Aisha Joshi,aisha.joshi@email.com,+91-9876543024,23,FEMALE,WOMEN_SINGLES,SUCCEEDED
Advait Kapoor,advait.kapoor@email.com,+91-9876543025,26,MALE,MEN_SINGLES,SUCCEEDED
Kiara Mehta,kiara.mehta@email.com,+91-9876543026,24,FEMALE,WOMEN_SINGLES,SUCCEEDED
Aarav Iyer,aarav.iyer@email.com,+91-9876543027,25,MALE,MEN_SINGLES,SUCCEEDED
Saanvi Desai,saanvi.desai@email.com,+91-9876543028,21,FEMALE,WOMEN_SINGLES,SUCCEEDED
Vihaan Malhotra,vihaan.malhotra@email.com,+91-9876543029,28,MALE,MEN_SINGLES,SUCCEEDED
Aaradhya Tiwari,aaradhya.tiwari@email.com,+91-9876543030,22,FEMALE,WOMEN_SINGLES,SUCCEEDED
Reyansh Agarwal,reyansh.agarwal@email.com,+91-9876543031,26,MALE,MEN_SINGLES,SUCCEEDED
Zara Singh,zara.singh@email.com,+91-9876543032,23,FEMALE,WOMEN_SINGLES,SUCCEEDED
